date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:38:50	24/24	---M--	200	added ('OK')	text/plain	date:Sat,%2021%20Jun%202025%2017:38:50%20GMT	http://127.0.0.1:8000/robots.txt		(from )
01:38:51	13061/-1	---M--	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2017:38:51%20GMT	http://127.0.0.1:8000/	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/index.html	(from )
01:38:51	17792/17792	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Jun%202025%2017:38:51%20GMT	http://127.0.0.1:8000/build/assets/site-BrfeH9Oo.css	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/build/assets/site-BrfeH9Oo.css	(from http://127.0.0.1:8000/)
01:38:52	2990/-1	---M--	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2017:38:52%20GMT	http://127.0.0.1:8000/portfolio	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/portfolio.html	(from http://127.0.0.1:8000/)
01:38:59	37110/37110	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:38:53%20GMT	http://127.0.0.1:8000/assets/laravel-logo.wine.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/laravel-logo.wine.png	(from http://127.0.0.1:8000/)
01:39:00	9332/9332	---M--	200	added ('OK')	image/webp	date:Sat,%2021%20Jun%202025%2017:38:59%20GMT	http://127.0.0.1:8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/free-bootstrap-logo-icon-download-in-svg-png-gif-file-formats--wordmark-programming-langugae-language-pack-logos-icons-1175203.webp	(from http://127.0.0.1:8000/)
01:39:03	13293/13293	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:39:01%20GMT	http://127.0.0.1:8000/assets/html5_logo_and_wordmark.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/html5_logo_and_wordmark.svg.png	(from http://127.0.0.1:8000/)
01:39:09	130858/130858	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Jun%202025%2017:38:51%20GMT	http://127.0.0.1:8000/build/assets/site-DLRH8RZK.js	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/build/assets/site-DLRH8RZK.js	(from http://127.0.0.1:8000/)
01:39:11	10268/10268	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:39:10%20GMT	http://127.0.0.1:8000/assets/javascript-logo.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/javascript-logo.png	(from http://127.0.0.1:8000/)
01:39:12	57971/57971	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:39:03%20GMT	http://127.0.0.1:8000/assets/css3_logo_and_wordmark.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/css3_logo_and_wordmark.svg.png	(from http://127.0.0.1:8000/)
01:39:12	124281/124281	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:38:52%20GMT	http://127.0.0.1:8000/assets/pngimg.com---php_png34.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/pngimg.com---php_png34.png	(from http://127.0.0.1:8000/)
01:39:16	18016/18016	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:13%20GMT	http://127.0.0.1:8000/assets/statamic-product-logo.jpeg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/statamic-product-logo.jpg	(from http://127.0.0.1:8000/)
01:39:20	55571/55571	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:39:12%20GMT	http://127.0.0.1:8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/1_vwae0qwgv9noupl61bbmqw.jpg	(from http://127.0.0.1:8000/)
01:39:22	83278/83278	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jun%202025%2017:39:11%20GMT	http://127.0.0.1:8000/assets/tailwind_css_logo.svg.png	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/tailwind_css_logo.svg.png	(from http://127.0.0.1:8000/)
01:42:39	5065315/5065315	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jun%202025%2017:38:52%20GMT	http://127.0.0.1:8000/assets/dsc_0373.jpg	E:/statamic/my-new-portfolio/my-new-portfolio/127.0.0.1_8000/assets/dsc_0373.jpg	(from http://127.0.0.1:8000/)
